GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Joda-Convert,org.joda.convert,Types.ParameterizedTypeImpl,96,66,17,5,18,15,13,5,2,5
Joda-Convert,org.joda.convert,EnumStringConverterFactory.EnumStringConverter,0,17,0,0,0,6,0,4,0,4
Joda-Convert,org.joda.convert,TypeStringConverterFactory.TypeStringConverter,4,15,0,0,2,6,0,4,0,4
Joda-Convert,org.joda.convert,OptionalDoubleStringConverter,57,42,4,0,12,10,4,3,2,3
Joda-Convert,org.joda.convert,Types.ClassOwnership.new Object() {...},0,3,0,0,0,1,0,1,0,1
Joda-Convert,org.joda.convert,JDKStringConverter.new JDKStringConverter() {...},0,142,3,7,0,21,3,5,0,3
Joda-Convert,org.joda.convert,JDKStringConverter.new JDKStringConverter() {...},0,77,0,2,0,11,0,4,0,3
Joda-Convert,org.joda.convert,Types.TypeVariableInvocationHandler,71,0,6,0,19,0,6,0,3,0
Joda-Convert,org.joda.convert,StringConvert.new TypedStringConverter() {...},3,26,0,0,1,3,1,3,1,3
Joda-Convert,org.joda.convert,EnumStringConverterFactory,9,24,1,5,2,6,2,4,1,2
Joda-Convert,org.joda.convert,StringConvert.new TypedStringConverter() {...},6,3,0,0,3,1,3,1,3,1
Joda-Convert,org.joda.convert,JDKStringConverter.new JDKStringConverter() {...},0,14,0,0,0,3,0,3,0,3
Joda-Convert,org.joda.convert,JDKStringConverter.new JDKStringConverter() {...},0,10,0,0,0,2,0,2,0,2
Joda-Convert,org.joda.convert,JDKStringConverter.new JDKStringConverter() {...},0,14,0,0,0,3,0,3,0,3
Joda-Convert,org.joda.convert,StringConvert,49,1000,4,72,10,231,4,61,0,27
Joda-Convert,org.joda.convert,JDKStringConverter.new JDKStringConverter() {...},0,10,0,0,0,2,0,2,0,2
Joda-Convert,org.joda.convert,JDKStringConverter.new JDKStringConverter() {...},6,14,0,0,2,3,0,3,0,3
Joda-Convert,org.joda.convert,JDKStringConverter.new JDKStringConverter() {...},0,12,0,0,0,2,0,2,0,2
Joda-Convert,org.joda.convert,JDKStringConverter.new JDKStringConverter() {...},0,20,0,0,0,4,0,2,0,2
Joda-Convert,org.joda.convert,Types.TypeVariableImpl,107,0,20,0,23,0,16,0,6,0
Joda-Convert,org.joda.convert,RenameHandler,170,460,16,66,28,129,19,41,3,16
Joda-Convert,org.joda.convert,JDKStringConverter.new JDKStringConverter() {...},0,10,0,0,0,2,0,2,0,2
Joda-Convert,org.joda.convert,Types.GenericArrayTypeImpl,40,0,2,0,10,0,6,0,5,0
Joda-Convert,org.joda.convert,JDKStringConverter.new JDKStringConverter() {...},12,45,1,3,1,6,1,4,0,2
Joda-Convert,org.joda.convert,JDKStringConverter.new JDKStringConverter() {...},0,29,0,0,0,5,0,3,0,3
Joda-Convert,org.joda.convert,AnnotationStringConverterFactory,45,427,9,79,6,88,10,43,1,8
Joda-Convert,org.joda.convert,OptionalLongStringConverter,57,42,4,0,12,10,4,3,2,3
Joda-Convert,org.joda.convert,Types.JavaVersion,19,87,4,4,6,15,5,3,2,2
Joda-Convert,org.joda.convert,TypeTokenStringConverter,12,36,0,0,4,10,0,5,0,5
Joda-Convert,org.joda.convert,TypeStringConverterFactory,4,19,1,3,1,4,2,3,1,2
Joda-Convert,org.joda.convert,Types.TypeVisitor,101,0,18,0,26,0,16,0,7,0
Joda-Convert,org.joda.convert,Types.ClassOwnership,4,61,1,3,1,10,1,3,0,2
Joda-Convert,org.joda.convert,JDKStringConverter.new JDKStringConverter() {...},0,14,0,0,0,3,0,3,0,3
Joda-Convert,org.joda.convert,JDKStringConverter.new JDKStringConverter() {...},0,10,0,0,0,2,0,2,0,2
Joda-Convert,org.joda.convert,Types.ClassOwnership.new Types.ClassOwnership.1LocalClass() {...},0,3,0,0,0,1,0,1,0,1
Joda-Convert,org.joda.convert,Types.ClassOwnership.new Types.ClassOwnership() {...},0,14,0,2,0,4,0,3,0,2
Joda-Convert,org.joda.convert,Types.ClassOwnership.new Types.ClassOwnership() {...},0,9,0,0,0,2,0,2,0,2
Joda-Convert,org.joda.convert,Types.new Types.TypeVisitor() {...},33,0,0,0,9,0,5,0,5,0
Joda-Convert,org.joda.convert,JDKStringConverter.new JDKStringConverter() {...},0,9,0,0,0,2,0,2,0,2
Joda-Convert,org.joda.convert,JDKStringConverter.new JDKStringConverter() {...},0,12,0,0,0,2,0,2,0,2
Joda-Convert,org.joda.convert,JDKStringConverter.new JDKStringConverter() {...},0,9,0,0,0,2,0,2,0,2
Joda-Convert,org.joda.convert,JDKStringConverter.new JDKStringConverter() {...},0,10,0,0,0,2,0,2,0,2
Joda-Convert,org.joda.convert,JDKStringConverter.new JDKStringConverter() {...},0,12,0,0,0,2,0,2,0,2
Joda-Convert,org.joda.convert,JDKStringConverter.new JDKStringConverter() {...},0,10,0,0,0,2,0,2,0,2
Joda-Convert,org.joda.convert,TypeCapture,0,23,0,0,0,4,0,2,0,2
Joda-Convert,org.joda.convert,JDKStringConverter.new JDKStringConverter() {...},0,10,0,0,0,2,0,2,0,2
Joda-Convert,org.joda.convert,Types.JavaVersion.new Types.JavaVersion() {...},25,6,4,0,7,1,4,1,2,1
Joda-Convert,org.joda.convert,Types.JavaVersion.new Types.JavaVersion() {...},12,10,2,0,3,2,2,2,1,2
Joda-Convert,org.joda.convert,Types.JavaVersion.new TypeCapture() {...},0,3,0,0,0,1,0,1,0,1
Joda-Convert,org.joda.convert,Types.JavaVersion.new TypeCapture() {...},3,0,0,0,1,0,1,0,1,0
Joda-Convert,org.joda.convert,Types.JavaVersion.new Types.JavaVersion() {...},35,10,0,0,9,2,2,2,2,2
Joda-Convert,org.joda.convert,Types.JavaVersion.new Types.JavaVersion() {...},10,10,0,0,3,2,3,2,3,2
Joda-Convert,org.joda.convert,TypeUtils,9,276,1,27,4,62,1,20,0,7
Joda-Convert,org.joda.convert,MethodConstructorStringConverter,69,39,7,5,10,7,6,3,0,3
Joda-Convert,org.joda.convert,MethodsStringConverter,30,106,2,12,4,17,2,8,0,3
Joda-Convert,org.joda.convert,ReflectionStringConverter,18,75,1,5,3,13,1,5,0,3
Joda-Convert,org.joda.convert,OptionalIntStringConverter,57,42,4,0,12,10,4,3,2,3
Joda-Convert,org.joda.convert,Types.NativeTypeVariableEquals,19,0,2,0,4,0,3,0,2,0
Joda-Convert,org.joda.convert,JDKStringConverter.new JDKStringConverter() {...},0,30,0,4,0,6,0,4,0,2
Joda-Convert,org.joda.convert,JDKStringConverter.new JDKStringConverter() {...},0,10,0,0,0,2,0,2,0,2
Joda-Convert,org.joda.convert,JDKStringConverter.new JDKStringConverter() {...},0,10,0,0,0,2,0,2,0,2
Joda-Convert,org.joda.convert,Types.WildcardTypeImpl,83,27,10,0,14,8,8,3,3,3
Joda-Convert,org.joda.convert,JDKStringConverter.new JDKStringConverter() {...},0,16,0,0,0,3,0,3,0,3
Joda-Convert,org.joda.convert,JDKStringConverter.new JDKStringConverter() {...},0,24,0,4,0,6,0,4,0,2
Joda-Convert,org.joda.convert,JDKStringConverter.new JDKStringConverter() {...},0,15,0,0,0,3,0,2,0,2
Joda-Convert,org.joda.convert,JDKStringConverter.new JDKStringConverter() {...},0,15,0,0,0,3,0,2,0,2
Joda-Convert,org.joda.convert,JDKStringConverter.new JDKStringConverter() {...},0,12,0,0,0,2,0,2,0,2
Joda-Convert,org.joda.convert,JDKStringConverter.new JDKStringConverter() {...},0,12,0,0,0,2,0,2,0,2
Joda-Convert,org.joda.convert,JDKStringConverter.new JDKStringConverter() {...},0,21,0,2,0,4,0,3,0,2
Joda-Convert,org.joda.convert,Types,366,110,47,11,75,18,37,13,11,10
Joda-Convert,org.joda.convert,TypedAdapter,11,35,0,2,1,10,1,6,1,5
Joda-Convert,org.joda.convert,JDKStringConverter,5,706,1,13,1,87,1,13,0,7
Joda-Convert,org.joda.convert.factory,ByteObjectArrayStringConverterFactory,4,12,0,2,1,4,1,3,1,2
Joda-Convert,org.joda.convert.factory,NumericArrayStringConverterFactory.FloatArrayStringConverter.new NumericArrayStringConverterFactory.FloatArrayStringConverter() {...},2,102,0,8,1,20,1,7,1,3
Joda-Convert,org.joda.convert.factory,BooleanObjectArrayStringConverterFactory,4,12,0,2,1,4,1,3,1,2
Joda-Convert,org.joda.convert.factory,BooleanObjectArrayStringConverterFactory.BooleanArrayStringConverter.new BooleanObjectArrayStringConverterFactory.BooleanArrayStringConverter() {...},7,92,1,17,2,19,2,11,1,3
Joda-Convert,org.joda.convert.factory,NumericArrayStringConverterFactory.IntArrayStringConverter.new NumericArrayStringConverterFactory.IntArrayStringConverter() {...},2,102,0,8,1,20,1,7,1,3
Joda-Convert,org.joda.convert.factory,NumericArrayStringConverterFactory.DoubleArrayStringConverter.new NumericArrayStringConverterFactory.DoubleArrayStringConverter() {...},2,102,0,8,1,20,1,7,1,3
Joda-Convert,org.joda.convert.factory,NumericArrayStringConverterFactory.IntArrayStringConverter,0,17,0,0,0,3,0,1,0,1
Joda-Convert,org.joda.convert.factory,NumericObjectArrayStringConverterFactory,4,35,1,11,1,13,2,7,1,2
Joda-Convert,org.joda.convert.factory,NumericArrayStringConverterFactory.LongArrayStringConverter,0,17,0,0,0,3,0,1,0,1
Joda-Convert,org.joda.convert.factory,NumericObjectArrayStringConverterFactory.DoubleArrayStringConverter.new NumericObjectArrayStringConverterFactory.DoubleArrayStringConverter() {...},2,135,0,16,1,23,1,11,1,3
Joda-Convert,org.joda.convert.factory,BooleanArrayStringConverterFactory.BooleanArrayStringConverter.new BooleanArrayStringConverterFactory.BooleanArrayStringConverter() {...},7,77,1,13,2,17,2,9,1,3
Joda-Convert,org.joda.convert.factory,NumericObjectArrayStringConverterFactory.LongArrayStringConverter,0,17,0,0,0,3,0,1,0,1
Joda-Convert,org.joda.convert.factory,NumericObjectArrayStringConverterFactory.LongArrayStringConverter.new NumericObjectArrayStringConverterFactory.LongArrayStringConverter() {...},2,135,0,16,1,23,1,11,1,3
Joda-Convert,org.joda.convert.factory,CharObjectArrayStringConverterFactory.CharecterArrayStringConverter.new CharObjectArrayStringConverterFactory.CharecterArrayStringConverter() {...},7,145,1,19,2,28,2,12,1,3
Joda-Convert,org.joda.convert.factory,CharObjectArrayStringConverterFactory.CharecterArrayStringConverter,0,17,0,0,0,3,0,1,0,1
Joda-Convert,org.joda.convert.factory,NumericArrayStringConverterFactory.FloatArrayStringConverter,0,17,0,0,0,3,0,1,0,1
Joda-Convert,org.joda.convert.factory,NumericObjectArrayStringConverterFactory.ShortArrayStringConverter,0,17,0,0,0,3,0,1,0,1
Joda-Convert,org.joda.convert.factory,NumericArrayStringConverterFactory.ShortArrayStringConverter.new NumericArrayStringConverterFactory.ShortArrayStringConverter() {...},2,102,0,8,1,20,1,7,1,3
Joda-Convert,org.joda.convert.factory,ByteObjectArrayStringConverterFactory.ByteArrayStringConverter,0,17,0,0,0,3,0,1,0,1
Joda-Convert,org.joda.convert.factory,NumericObjectArrayStringConverterFactory.IntArrayStringConverter.new NumericObjectArrayStringConverterFactory.IntArrayStringConverter() {...},2,135,0,16,1,23,1,11,1,3
Joda-Convert,org.joda.convert.factory,NumericArrayStringConverterFactory.DoubleArrayStringConverter,0,17,0,0,0,3,0,1,0,1
Joda-Convert,org.joda.convert.factory,BooleanObjectArrayStringConverterFactory.BooleanArrayStringConverter,0,17,0,0,0,3,0,1,0,1
Joda-Convert,org.joda.convert.factory,ByteObjectArrayStringConverterFactory.ByteArrayStringConverter.new ByteObjectArrayStringConverterFactory.ByteArrayStringConverter() {...},7,115,1,13,2,20,2,9,1,3
Joda-Convert,org.joda.convert.factory,NumericObjectArrayStringConverterFactory.ShortArrayStringConverter.new NumericObjectArrayStringConverterFactory.ShortArrayStringConverter() {...},2,135,0,16,1,23,1,11,1,3
Joda-Convert,org.joda.convert.factory,NumericObjectArrayStringConverterFactory.FloatArrayStringConverter.new NumericObjectArrayStringConverterFactory.FloatArrayStringConverter() {...},2,135,0,16,1,23,1,11,1,3
Joda-Convert,org.joda.convert.factory,NumericObjectArrayStringConverterFactory.IntArrayStringConverter,0,17,0,0,0,3,0,1,0,1
Joda-Convert,org.joda.convert.factory,NumericObjectArrayStringConverterFactory.FloatArrayStringConverter,0,17,0,0,0,3,0,1,0,1
Joda-Convert,org.joda.convert.factory,BooleanArrayStringConverterFactory,4,12,0,2,1,4,1,3,1,2
Joda-Convert,org.joda.convert.factory,NumericArrayStringConverterFactory.LongArrayStringConverter.new NumericArrayStringConverterFactory.LongArrayStringConverter() {...},2,102,0,8,1,20,1,7,1,3
Joda-Convert,org.joda.convert.factory,NumericObjectArrayStringConverterFactory.DoubleArrayStringConverter,0,17,0,0,0,3,0,1,0,1
Joda-Convert,org.joda.convert.factory,BooleanArrayStringConverterFactory.BooleanArrayStringConverter,0,17,0,0,0,3,0,1,0,1
Joda-Convert,org.joda.convert.factory,NumericArrayStringConverterFactory.ShortArrayStringConverter,0,17,0,0,0,3,0,1,0,1
Joda-Convert,org.joda.convert.factory,NumericArrayStringConverterFactory,4,39,2,12,1,13,3,7,1,2
Joda-Convert,org.joda.convert.factory,CharObjectArrayStringConverterFactory,4,12,0,2,1,4,1,3,1,2
